D, bits in q (base field size), bits in r
2886547, 122, 103
2894443, 177, 166
2899531, 59, 47
2899891, 125, 115
2904043, 29, 20
2914619, 20, 10
2918563, 20, 15
2929091, 24, 14
2932651, 164, 155
2957867, 45, 31
2961467, 33, 20
2968699, 50, 28
2970371, 42, 14
2974603, 32, 16
2984243, 27, 24
2994499, 61, 61
2994707, 36, 23
2994779, 46, 20
3005467, 269, 216
3008099, 38, 23
3011443, 99, 99
3012923, 27, 10
3013131, 51, 18
3022043, 20, 10
3026059, 20, 17
3032931, 34, 11
3049987, 46, 24
3058283, 20, 14
3062323, 20, 8
3064547, 47, 35
3072187, 49, 23
3072451, 64, 57
3074507, 150, 136
3080403, 43, 29
3109651, 24, 21
3123051, 95, 58
3125627, 37, 35
3132699, 29, 19
3161323, 48, 20
3164907, 34, 28
3165219, 88, 76
3167579, 38, 32
3169067, 121, 92
3171843, 50, 19
3180083, 122, 121
3183227, 31, 15
3191883, 27, 19
3196451, 52, 13
3211771, 1216, 1205
3217819, 21, 14
3221963, 21, 8
3222979, 47, 23
3226619, 55, 27
3241283, 58, 32
3245523, 53, 53
3283563, 65, 55
3285571, 54, 54
3294531, 155, 136
3295947, 110, 102
3309923, 63, 30
3319411, 24, 8
3323211, 85, 82
3329523, 98, 74
3330643, 21, 11
3334859, 21, 16
3335427, 65, 60
3346739, 42, 24
3350707, 84, 66
3352067, 113, 102
3357387, 24, 21
3362867, 31, 19
3368683, 21, 10
3372923, 21, 19
3385427, 115, 111
3387291, 721, 718
3405067, 32, 16
3406147, 30, 30
3406939, 21, 21
3411203, 21, 16
3418899, 32, 27
3422843, 28, 22
3432067, 251, 241
3432563, 21, 8
3433179, 93, 89
3436843, 21, 21
3441523, 65, 65
3447443, 172, 163
3448203, 81, 79
3468667, 569, 531
3468819, 83, 80
3470003, 28, 11
3492339, 284, 278
3493019, 216, 198
3497043, 21, 16
3500283, 58, 55
3501363, 21, 18
3502539, 28, 24
3504523, 31, 28
3506147, 565, 554
3508227, 29, 23
3511259, 69, 54
3511451, 24, 10
3537571, 134, 129
3547123, 27, 18
3572923, 51, 51
3580347, 105, 89
3582147, 29, 29
3582427, 41, 41
3588323, 21, 19
3592699, 21, 14
3601459, 21, 17
3603707, 70, 51
3605843, 21, 13
3616251, 35, 35
3621427, 58, 53
3634131, 32, 18
3635019, 35, 16
3643947, 24, 14
3653843, 49, 41
3667499, 21, 19
3671923, 21, 12
3691011, 38, 25
3693331, 81, 28
3710643, 28, 18
3711003, 44, 31
3711139, 121, 64
3721099, 36, 29
3724443, 51, 44
3726547, 33, 17
3726843, 706, 687
3735467, 47, 19
3744907, 29, 16
3746347, 66, 66
3750939, 64, 28
3753803, 57, 36
3759739, 28, 20
3763947, 24, 19
3787883, 21, 12
3792379, 21, 13
3792931, 46, 46
3812083, 79, 67
3829947, 24, 8
3843243, 28, 21
3848763, 425, 421
3861451, 34, 34
3866819, 62, 25
3877763, 36, 35
3884619, 60, 60
3888203, 38, 29
3896523, 21, 12
3901083, 21, 17
3901683, 79, 54
3910707, 44, 19
3923923, 21, 18
3928499, 21, 19
3931371, 32, 32
3936707, 48, 32
3937659, 21, 9
3942243, 21, 21
3946507, 41, 39
3965203, 21, 21
3969803, 21, 16
3984627, 36, 19
3990963, 88, 81
3993011, 67, 57
4006699, 21, 11
4008323, 78, 73
4010843, 37, 26
4011323, 21, 11
4029283, 84, 77
4036027, 24, 24
4039123, 451, 436
4063763, 46, 32
4073267, 51, 25
4082283, 37, 37
4093451, 24, 16
4096051, 69, 39
4096283, 28, 16
4100323, 62, 59
4100731, 96, 96
4101507, 46, 20
4108883, 567, 562
4112763, 42, 42
4119971, 24, 24
4132483, 21, 9
4135531, 53, 36
4136827, 42, 24
4137179, 21, 19
4143403, 92, 73
4146579, 21, 14
4151283, 21, 9
4161627, 117, 117
4162267, 24, 17
4192243, 29, 11
4195587, 89, 89
4196203, 79, 79
4203203, 21, 14
4207939, 21, 12
4209587, 49, 47
4213403, 81, 76
4223659, 29, 15
4235187, 42, 42
4272803, 35, 22
4273163, 215, 200
4280827, 40, 22
4287987, 1653, 1648
4290547, 90, 85
4308419, 70, 46
4325483, 1021, 1010
4329203, 219, 186
4329347, 773, 773
4334003, 43, 35
4339507, 53, 22
4345707, 100, 87
4354507, 93, 70
4364203, 44, 28
4365379, 117, 117
4371579, 35, 31
4373683, 46, 46
4376987, 24, 10
4383507, 106, 106
4389883, 21, 21
4394723, 21, 9
4399019, 78, 63
4408123, 45, 32
4450259, 36, 16
4461347, 34, 33
4464387, 24, 20
4498523, 30, 24
4521099, 91, 80
4524243, 36, 34
4590723, 223, 218
4616267, 74, 62
4622491, 106, 97
4626563, 28, 14
4633771, 51, 38
4637491, 37, 16
4640123, 21, 8
4643739, 28, 24
4645099, 21, 11
4646763, 54, 42
4655059, 21, 9
4656531, 43, 31
4660043, 21, 15
4673187, 248, 224
4674323, 32, 15
4682779, 27, 25
4703347, 24, 16
4720643, 71, 33
4730651, 36, 22
